lexical_unit,pos,gloss,variant,audio_file,example_sentence,translation
yijeng,Noun,foot,,yijeng.wav,libi-warang yijeng,nail-having foot
weyerrweyerrma,Coverb,"to hang down",,,,
manamanagban,Noun,"bird, wood swallows",,,,
dorrg,Interjection,emu noise,,,,
waliguya,Adjective,[Allative] around,walig-bari,,waliguya nunja,You two go
gorlun,Noun,"coolamon, boat",,,"gagawli magulu jamam yawurr-gin jamam, yilamagan goyin","They fill up fill with yams, potato, maybe honey"
gabaj,Coverb,"to drop, miss",gabajba,gabaj_sentence_gabaj-ngamendi.wav,Gabaj nga-mendi.,I didn't catch anything (fish).
ngarral(ma),Coverb,"talk, `to argue with over'",,,ngarralma yawurr-woyin menyin-gu,They arguing.
bulju,Adjective,"some time ago, a few days ago",,bulju.wav,bulju-wunba,from a couple of days ago
jawarrga,Noun,"liver",,jawarrga.wav,,
diw,Coverb,"fly, fly away, throw",,diw_sentence_diw-yanja.wav,Diw yanja jigjig.,The bird takes off.
yadurrgu,Noun,proper name (Minnie Yadurrgu),,,dana yinggi derderde nyangandi mulurru,"This is your granny, old lady has come"
wily,Coverb,"whistle",wilyma,,wiyl,
manamnyan,Noun,barramundi,,,,
jilig,Coverb,"be awake, awaken, wake up",,jilig_sentence_wurren-jilig-yayi-gaju.wav,Wurren jilig yayi-gaju.,The child might wake up.
Dabdaba,Coverb,"kind of dance, dancing; also placename",,,Nanba-wan wudjangandi-wuya Dabdaba-warr,"then the two came to Dabdaba, wu-loyirri dabdaba [ref. dendenin and welejban]"
mardawg,Noun,"passion fruit",,,mardawg berngijin-ya ya-yu watermelon marraj wudugurlaman,"Mardawg lives on black soil, like a watermelon."
yanin,Adjective,this time like,,,,
lalmarrin,Noun,"tree, whistling pine",,,Jarrang ya-yu,It's found at Jarrang.
garra-warang,Noun,"spider-webbed, covered [Inclusive] webs (as old house)",,,,
lirrminin,Noun,"pebble, gravel",,lirrminin_sentence_lirrminin-nana-wan-dalg-yanggi.wav,Lirrminin nana-wan dalg yanggi.,The pebbles popped.
guji,Adverb,first,,,,
durrurndung,Coverb,"[Inclusive] a line",,,,
nandum,Noun,seed pod,,,marnandum Elsie Raymond  wrr0050_full,
jabalng,Noun,"frog, pulse",,,jabalng marran-ya ya-yu,Frogs live in sand.
barrwa-rlan,Adverb,down below,barrwarlan,,laj me barrwarlanma,Strip it downwards.
liwin,Noun,"red ochre, [Ergative case].",,liwin_sentence_wurr-gorrmarri-ngamandaga-warra-liwin-barra.wav,"Wurr-gomarri ngamandaga-warra, liwin-barra, loyiyin, barnjan wurr-mendiya.","They painted them with what, with red ochre."
larrglarrgin,Adjective,"light shade, not dark shade",,,"yilarrglarrgin yumin, wonggo ya-dagbarlan yarlarrg ngawun, yibirral.","A dry tree, it doesn't have branches, dry one."
wujurlman,Noun,"corner, compartment, windbreak",,,Wujurlman wurr-marnburriya wuja wurr-gindiya jaburru,They made a compartment and put the fire in front.
yulun,Noun,"trade, exchange",,,wurr-woyirriya yulun marraj,They gave to each other (like) trading.
mu-warnad,Noun,marble tree,,,,
nyilg,Coverb,"sprinkle, fall",nyilgba nyilgnyilgba,nyilg_sentence_nyilg-ye-wen-wiyan.wav,"Nyilg ye-wen wiyan, marlnga yawudban.ga","It sprinkles with rain, when clouds form."
morr,Coverb,"be dark",,morr.wav,Morr ye-men laglan.,"The country gets dark, the sun is setting."
ngamungguja,Noun,boss,,ngamungguja.wav,Ngamungguja nga-jingin.,I am the boss.
dalgirrij,Coverb,"lean back",,,Dalgirrij ya-yu yum-nya,He is leaning back on a tree.
min,Adverb,[Adverbial],,,mayin wayana wu-dirriya yirrugu mernde-yi  lun-garra nan-garr-min julu-warr,Tucker and all the whites brought us putting it down towards that hill.
nendo,Noun,horse,,638546299967183902A LexExampleSentence.wav,nendo-warra yawurrangga,they going on horseback
yibalang,Noun,fresh or new floodwater,,,,
bilawma,Coverb,"be full, at a high level (or water)",,,Bilawma  Yanja bilawma wiyan yirrgulun-ma,The river is full up.
mundubali,Noun,"big underground tucker, at Jalad",,,,
larlban,Adjective,cracked tree,,,"larlb ya-bun.ga janginyina-yi wularlban na, yilamagan goyin-garang lagu","The lightning splits the tree, maybe got a honey."
yimeme,Adjective,right-hand(ed,,,,
bidbid,Coverb,chisel shape,,,,
ngunynguyn,Coverb,"sprinkle, wet down lightly",,,nguynnguyn yawurr-bun nana ngamandagan ngardan,They sprinkle that whatsaname antbed
dendenin,Noun,Red-collared lorikeet,,,,
burrngburrng,Coverb,"boil, surge",burrngburrngma,burrngburrngma_sentence_burrngburrngma-ya-ban.wav,Burrngburrngma ya-ban.,It boils.
dordoma-,Verb,"to shake, shiver",,,,
wirdinywirdinyma,Coverb,"wag tail at",,,wirdinywirdinyma ya-yana minini,"He wags tail in the grass, maybe he saw a goanna"
numbulan,Adjective,"that way, side, [Inclusive] that direction (away), on that side, also numbulan-min",,numbulan_sentence_numbulanmin-nunja.wav,Numbulan-min nunja.,You go that way.
dan.ganung,Demonstrative,these,,danganung_sentence_danganud-ngadjingin-warrba.wav,Dan.ganud ngadjingin warrba.,"We sit here, lots of us."
dija,Noun,for spear,,,"garnin, guduru wurr-marnburriya","They made spears, woomeras."
dodo(ma),Coverb,"shake",,,Dodoma wurr-mendi,They shook it.
balngbalngma,Coverb,"slap thighs",,balngbalngma.wav,Balngbalngma yawu-loyin.,They dance clapping their legs.
miwinin,Noun,"sleep, camp, night (period of time)",,miwinin.wav,"miwin-yi ngan-bun (yimum), mugurn nga-jingi-we","I am sleepy, I must/will sleep."
yalarrgin,Noun,"tree type, fig",,,,
bardarrma-,Verb,"to scratch",,,….wudjangandiiii wurr-wojbarnarri boooo Bornong  la Heywood minini Bardarrmarri,"They came on, they listened, boooo (at) Bornong, on the Heywood (creek), a dog was scratching"
ni-,Verb,"bring",,,"wonggo yawu-din go mayin, layin.","They don't bring tucker, meat for him."
munggen,Noun,"black flying fox, *",,638546239025503788A LexExampleSentence.wav,munggen yimeleman,black flying fox
gilywaj(gilywaj),Coverb,"trample",,,gilywajgilywaj ya-bewen gonjon,He tramples the ground (buligi)
wurne,Noun,bone,,wurne.wav,,
biyawiyag,Noun,black-faced cuckoo,,,,
gurlinga,Noun,paperbark packet,,638493602735330060A LexExampleSentence.wav,"gurlinga nana dangindi yiman, mogba yayu yiman, ngayal-warang","Gurlinga is paperbark, young one, smells"
galma-,Verb,"to swell up, grow",,638487735327479500A LexExampleSentence.wav,"nendo galmarri  Wonggo mandagan colt, ngawun, quiet one","He got on a horse, not a whatsaname colt, no, a quiet one"
ligirri,Coverb,"lean, lie down on, against",,ligirri.wav,ligirri ya-yu gonjo-ya,He is lying down on the ground.
jongorogba-,Verb,"yawn, gape",,,,
mululug,Noun,"initiand, young boy",,,SW says not to talk,
"yiji-, yiju-",Verb,"to sit, alt. jingi-",,,,
yididilman,Noun,double bar or poss. any piebald finch,,,,
yiboyn,Noun,stranger,,yiboyn.wav,Yiboyn yawudjangan ngarrugu ngawurnen.,A lot of strangers are coming to us.
jangurrgba,Coverb,"eat a lot",,,"jangurrgba ya-ngun.ga gangman yilamagan guwarlambarla wayana, barrunin wayana,",He eats a lot .
jeyema-,Verb,"to promise",,jeyema_sentence_nganburr-jeyemarri-yimarnayn-gu.wav,Nganburr-jeyemarri yimarnayn-gu.,They promised me (him) for a husband.
wejbu,Coverb,"`box-up', mix",wejbama,,wejbu yidjingindiya madin-gu ngorlogba-wu,"We sat together for language, to talk"
daw,Coverb,"be sound asleep.",,638521082062765676A LexExampleSentence.wav,dawma ya-jingin,He sits with leg up [crossed?}.
ngorrorrong,Coverb,"carry on `kidney', astride hip or straddling back",,ngorrorrong.wav,Yinebel-ya labang yiwarrna-gari-yi wurr-gandiya ngorrorrong.,"Some carry on their shoulders, some carried on their hips."
jigjig,Noun,bird,,,,
gangga,Noun,"higher up, upriver",,,"gaju-rri go gorrondolmi guyamin, gangga-wa beye-wa","Two rainbows got up to him, from upstream and downstream."
bonyboyn,Coverb,"to suck on",,,,
dawag,Coverb,"stop, make stop",dawagba,,wurre-wu yawurr-buyin-ga dawag bu,Stop them from fighting
guyanggin,Noun,"woomera",,guyanggin.wav,benegin wurr-mendiya nyabnyab-gu ngamandaga-wu guyanggin-gu  and garnin-gu,They got wax to glue whatsaname woomera and spear.
nganyngany,Adjective,"soft, of body",,638546321075949292A LexExampleSentence.wav,nganyngany yinyeyn,soft body (pars)
galulul,Adverb,"[Reduplicative form], on top",,,,
barlbarlma,Coverb,"to make bed, spread out",,barlbarlma.wav,Barlbarlma marnbu warlgin nganu.,Spread out my bed.
barrun,Adjective,"good fisherman/woman",,,,
warrigab,Coverb,be confused,,,warrigab wurr-woyirri - Nganjigbe damirlan ya gabarri dawurlan,They were confused [exchanged different ideas] -- I will go this way and you go that way
murndima-,Verb,"mind, look after",,638546263962397677A LexExampleSentence.wav,yanggun-murndima wurren,Him look after kid.
burrburrb,Coverb,twirl firedrill,,,burrburrb wurr-mendiya diyl bundiya,"The twirled the firedrill, it lit."
-beng,Noun,"[Locative]",,,nga-jingindi lege-weng,I stayed in one place.
girdibun,Adverb,"finish, end",,girdibun_sentence_girdibun-bari.wav,Girdibun-bari.,That's it/that's all.
nyanga,Verb,come,,,,
derreman,Adjective,crawler (baby),,dereman_sentence_wurren-yiderreman.wav,wurren yiderreman,a crawling baby
jalaj,Noun,lily flour; also plug with ashes,,,,
mamum,Noun,seed,,638545330089756643A LexExampleSentence.wav,yumin-ba mamum dolb wendi,The seed fell from the tree.
ngan-,pronominal,"[3rd Singular]/[1st Singular] obj",,,ngan-bundi digirrij.,He beat me silly.
linin,Noun,"snake, [Ergative case]",,,liw ya-nyangan wurrugu wurre-wu linin.,That snake come up
yigan.gal,Noun,ribs,,yigarngal.wav,guyamin yigan.gal-wuya,two ribcages [two sides]
giliwirrin,Noun,desert paperbark,,,Nana gilwirrin wurr-mendiya bagbag,They broke off sandalwood.
wumiri,Noun,root,,,,
jolbord,Noun,station homestead,,jolbord.wav,,
wurnurlgin,Noun,"hot ashes, [Locative]",,,BH song text Kiva 1-21; rn probably at boundary; also rec. as wunulgin,
giyalgin,Noun,limestone,,giyalgin.wav,Wumunburra-ya giyalg-ja ya-jingin.,It's in the limestone.
mujbuj,Adjective,"person of place, affiliated with place",,,SW says munggayin,
dugban,Noun,"insect, `boil', mordorl-warang",,,,
jawujwuj,Noun,"green grass, kangaroo grass",,638494382410490313A LexExampleSentence.wav,ya-ngun gangma-yi jawujwuj,Kangaroos eat jawujwuj.
lowaglowa-wujban,Noun,gambler,,,yawurr-gelinyen danani lowaglowa-wujban,They gossip about this gambler.
ngarra,Verb,[1st Inclusive Plural] go [Present],,,,
nyabnyab-gujban,Noun,sticky (thing),,,"ya-yu ngamanda yum-nya, guraman nyab ya-jingin yum-nya","that gum, him stick la tree."
warlam,Noun,skin,,,ngamanda yinggi yiwarlam ? yimbangari.,What's your skin?
warlng,Coverb,"be open, open",,warlng_sentence_warlng-girdibun-wurr-mendiya-ngamandagan-mayin-mabarrbarr-ya-jubad-wurr-bundiya-na.wav,Warlng wurr-mendiya yumin-barra.,"They opened it with a stick. [e.g., turtle shell]"
yayigba,Coverb,"♂ sorrow, grieve",,,marlarluga yayigba wudjingindiya,The old men were keening
wilyangun,Noun,"lad, boy, about",,wilyangun.wav,,
wudban,Adjective,wet ground (mu-wudban),,,,
nyaj,Coverb,"poke, stab; bu-",,,yijeng nunu-we wumunburra-ya nyaj,You may fall on the stone and get poked.
yirrgulun,Noun,river,,yirrgulun.wav,Yirrgulun nana wudu gila nana Jingginya,The river is really small at Jingginya.
gegba,Coverb,"to imitate, `copy'",,,"wonggo wurren wu-lirriyawu, yilamagan gegba wurr-gandi wurren lurriyaw, gegba gandiya; gegba yimburr-gan lurlewujban","He been wanta markim; he'll take you away, you crying buigger."
yalang,Noun,bush tea,,,,
guwamba,Noun,barramundi,,,,
bardabardaba,Coverb,twirl firedrill,,,"bardabardaba wurr-mendiya, merleng bandiya","They twirled the firedrill, the flame burned."
gurrgba,Verb,sleep,,,Ngana-gurrba.,Let him sleep.
nerrenerredban,Adjective,"striped, spotted",,638546300725678681A LexExampleSentence.wav,yinerrenerredban,stripey one (lizard)
wunma,Coverb,"hurt, ache, be sore",wunwunma,,wunma nga-jingin burderde.,My knee hurts.
yaluba,Coverb,"pregnant",,,"Garlirlij nga-jingindi mejern, yaluba","My belly swelled up, pregnant."
yibayin,Noun,mother-in-law,,,,
yingurla,Noun,single boy,,,,
warlban,Adjective,"loose, wide, too big, broad",,,yiwarlng yiwarlban nana t-shirt marraj,"big, loose dress"
yiwaganga,Noun,"rain",,,,
dijongma,Coverb,"play didgeridoo","dijongdijongma, dijorrongma",dijongma_sentence_nanba-wan-dijongma-wurr-gindiya.wav,Nanba-wan dijongma wurr-gindiya.,And then they played the didgeridoo.
wog,Coverb,"singe, burn lightly [Inclusive] fire",wogba,,wuja-ya wog yawurr-ban gangman,They singe the kangaroo in the fire.
benbenin,Noun,"billabong country",,,benbenin julu-ya ya-jingin,Benbenin is found on hills.
yilanggin,Noun,middle finger,,yilanggin.wav,Bulgu-ya yilanggin yayu.,He is is the one in the middle.
ngawun,Interjection,no nothing,,ngawun.wav,Wonggo ngawun-gomarlarriya ngamandagan centre camp-garr ngawun,"I didn't accompany them to centre camp, no."
ngalaga,Conjunction,"to think that, reckon",,638546316872915342A LexExampleSentence.wav,ngalaga ngawun nga-dagbarlan dana dubuluj-biji ya-yu ngunung,"I guess I have nothing here, only my dillybag's here."
balng,Coverb,"walk, tread; mark",,,balng balng wurr-gindiya yijeng,They put tread (foot) marks.
garlang,Noun,"burial platform, [Locative]. garlang-nya",,,,
Ngabij,Noun,personal name,,,,
buj-ngana,Noun,"bushy, of the bush (buj loaned from English)",,buj-ngana.wav,,
wholelot,Noun,wholelot,wholelotbi,,,
balyab,Coverb,"lie [Inclusive] wait for",,,,
ngarr-,pronominal,"[1st Inclusive Plural] [Pronoun]",,,,
liljig,Coverb,grab,,,liljig gindiya,he grabbed it
mul,Coverb,"cover up, `shut im up eye'",,638327623335516770A LexExampleSentence.wav,mul wurr-bundiya ngamandaga-yi  gonjo-yi badbad wurr-bundiya gonjo-warra,"They covered it with what, with dirt, they covered it up with earth."
yerrenggejbu-,Verb,"rummage [Inclusive], mess up",,,,
mindilgba,Coverb,stare at,,638545442813083716A LexExampleSentence.wav,"mindilgba ngan-dan, mumbin ledba ngan-dan",He's staring at me. (repeat)
dog,Coverb,"break","dogba, dogdog",638510662964205474A LexExampleSentence.wav,Dog wurr-bundiya belerren,They broke the tree [E. papuana]
yanung,Noun,"easterners",,,,
jorljorlma,Coverb,"wade",,,jorljorlma yanja,He wades.
buligi bulugi,Noun,"cow, cattle",,buga_sentence_yilamagan-mogba-yayu-buga.wav,Yilamagan mogba yayu (nanawunyin) buga.,Maybe it's lying there stinking.
jawulwara,Noun,"brown snake, like taipan, venemous",,,,
warrama,Noun,sugar glider,,,,
jininyin,Noun,"maggot",,638494484837054555A LexExampleSentence.wav,jininyin ya-nyangan yilamagan gorlongongon ngun-ya yayu,maggot comes maybe from fly's shit.
jiligjilig-gujban,Noun,"awakening bugger, one who wakes one up",,,ya-gajun jajali,He stands up all the time.
yawaliyn,Noun,personal name,,,,
galgalmiwayi,Coverb,"climb up",,,,
jewedba,Coverb,"`company', sharing, `fifty-fifty', `level'",,,"jewedba-wuya nguyi mayin lege, ngowoyi-wuya",Two fella eat one tucker.
wed,Coverb,"look back",wedba,,wed ya-nan,He looks back.
yiwangari,Noun,subsection,,,,
gaya,Adjective,"today, now",,gaya_sentence_gaya-biji-wendi.wav,Gaya-biji wendi.,It's just born.
marilng,Noun,"comet, falling star",,638545340449919350A LexExampleSentence.wav,marilng ye-wen.ga,when a comet falls
-baywa,Noun,"first",,,,
gorlongongon,Noun,blowfly,,,,
wirrig,Adverb,tomorrow,,wirrig.wav,Nganjigbe wirrig.,I'll go tomorrow.
golongma,Coverb,"spill (liquid) on, douse",,,golongma gilarri gunbirdbirda wiya-warra.,He spilled the water on..
ngayajan,Noun,"spirit, child spirit, see yimerrug",,,"ngayajan ya-nyangan  yilamagan yimerrug ya-dagbarlan yinggiya-warda, lurleglurle, yinggiya-warda ya-dagbarla-yan yimerrug wurren","A spirit child arrives crying, they throw stone to mother."
dalg,Coverb,"to pop",darlg,dalg.wav,Lirrminin nana-wan dalg yanggi.,The pebbles popped.
ngurrulug,Coverb,"embraced, entwined",,,ngurrulug ye-men wurren yiguyu-yi,The mother embraces the child
yordin,Noun,ash,,,,
bajanggurr,Noun,bicyle,,,,
mirrngma,Coverb,"have headache",,,mirrngmirrng nga-jingin yibam,I have a headache.
janagin,Noun,grass type,,638494335603533777A LexExampleSentence.wav,wurr-mendiya wurr-gandiya,They got it and took it [no use cited].
lorlon,Noun,"small hole",,,,
gardarrma-wu,Noun,towards dawn,,,,
burlami-wujban,Noun,liar,,,,
dolb,Coverb,"fall out",dolba,dolb_sentence_dolb-ye-wen.wav,Dolb ye-wen.,It falls.
marluwun,Noun,hill or cave country tobacco leaf,,,"yumin ya-yu marluwun, lu-ya ya-jingin","Him siddown hole, it's in a hole."
yaynmirra,Noun,skin,,,,
gondojba,Coverb,"stiff, hunched over",,,gondojba ya-yu banggin,His back is hunched over.
mijbijin,Noun,small ant,,,warlad yijingin.ga mijbijin-yi yin.gu-lan mindigmindig ya-gagayma,When we sick that ant bites us and we sing out.
-wa,Noun,"[Ablative]",,,,
mugmug,Noun,boobook owl,,638546205131558709A LexExampleSentence.wav,mugmug,the owl sings out mugmug
gewernima,Adverb,gammon,,,Ngawun gewernima yiwaja nana marluga barig barig,"No, you leave that old man alone.  [implies: you leave husband alone to go chasing other men, you are `gammon' about your motives]"
girrngonggirrngong,Noun,pig,,,,
lurleglurle-wujban,Noun,crybaby,,,,
jejbarla-wujban,Noun,demanding person,,jejbarla-wujban.wav,,
liynje-,Verb,"to cut",,638495281090380849A LexExampleSentence.wav,"Ya-liynjen yumin, or wolon.",S/he cut it.
marrig,Adposition,"just as, like",,,yijad marrig,big one
wuya,Dual,[Dual],,,Yi-dagbarla-wuya mami-wuya-yi,"She and I will look after her, mommy and me."
gaju-,Verb,"to rise, get up, grow, stand",,,danani ya-gajun-ga,This one standing here.
barlawarlarr,Coverb,"to hang up clothes",,,jiyl jiyl nga-mendiya barlawarlarr nga-gindiya,I wrung them out and spread them out.
wumban,Adjective,light,,wumban.wav,,
yarramburl,Coverb,"have goosebumps",,,yarrambulma ngani-marnbun.,You make my hair get up (give me goosebumps).
lin.,Coverb,lin.gad,,,lin.gad nga-bundi guramana,I cut gum.
nan-guya,Demonstrative,[3rd Dual],,,Mightbe wurr-yanarri doit nan-guya Nabida-warrma nawurla,"Maybe those two, nabida and nawurla, `did it'."
yunumburrgu,Noun,"euro",,,"yunumburrgu, yijad yayungga julu-ya","Yunumburrgu, the big one in the hills."
yigawarl,Noun,bee,,,,
birrijbirrijban,Adjective,"curly (hair)",,,,
bidbidba-,Verb,"to twirl firedrill",,,,
lalma,Coverb,"chase away, banish, scatter",,638495209819950107A LexExampleSentence.wav,"lal ya-bun minini-yi yawun-ngarlma, ngarlngarlma yawurrangga",The dog scatters them.
marawu,Coverb,"walkabout",,marawu.wav,marawu nganjigbe,I will go walkabout.
ngalijirri,Noun,female plains kang.,,638546317756547223A LexExampleSentence.wav,ngalijirri gangman bangbun,ngalijirri is the female kangaroo
mowoj,Coverb,"sneak away (+[Dissociative])",,638546199722273376A LexExampleSentence.wav,yilamagan mowoj yanggi-wan go,mowoj yanggi girrb mamaj mendi
gurrb(a),Coverb,"stab",,638493604828442363A LexExampleSentence.wav,"Gurrba ya-bun yilamagan walanja, gangman.",
gudani,Interrogative,var. of guda,,,,
genygeyn,Noun,"type of lizard, skinks",,,,
-wunba,Adposition,"when used as suffix (e.g. at word end), this means '[Source]'",-gunba,,wudu-wunba ya-garranjin,"From (being) small, she is growing."
jinimin,Noun,name of mythic bat,,,,
walina-,Verb,"be jealous of",,walina_sentence_ya-walinana-bangbun.wav,Ya-walinan bangbun.,He is jealous of a woman.
ngarrajananggu,Noun,dingo,,ngarrajananggu_sentence_yilamagan-ngarrajananggu-wojbarnarriya-wolo-ya.wav,Yilamagan ngarrajananggu wojbarnarriya wolo-ya.,Maybe he heard dingoes in the grass.
birilg,Coverb,"go flat, deflate",birilgba,,"Birilg yanja wuja-ya damper, birilg yanja tire.","Damper goes flat on the fire, the tire goes flat [how to use word]./"
yinabam,Adjective,cooked (food),,,,
lowaglowa,Coverb,"play",,lowaglowa.wav,Ngadjingin.ga lowaglowa.,We sit playing.
ngalarryang,Noun,"place on Willeroo, Polly Springs",,,,
wirriyn,Coverb,"to turn, be/get dizzy",,wirriyn.wav,Wirriyn nga-giyan mayin.,I'll turn the tucker.
ngurruwun,Noun,"hot weather, hot season",,ngurruwun.wav,ngurruwun mirrngmirrng ya-yana marninggani,In the hot weather the sun burns.
dalma-,Verb,"punch, hit",,,Dalma yawurr-buyin nungguru.,They punch each other.
wumerrelya,Noun,Springvale,,,,
ngaynma-,Verb,"expend, use up, waste",,,Bega nga-ngaynma.,I use up the tobacco.
warawad,Coverb,"go around, move around to look for food",,warawad.wav,"Wujerrij-barra wonggo yawurrya warawad, yawudjingin lege-weng","In the cold season they don't go walkabout, they sit down in one place."
garlirlij,Coverb,"swell up",,garlirlij.wav,Garlirlij na ya-jingin.,It's swollen up.
wudab,Noun,"cave, lair",,wudab.wav,Wudab-ya yayu.,It's in the cave.
ladaja,Noun,"type of lizard",,,,
yulungun,Coverb,sool up (dog),,,yulungun wurr-wondiya minini,They sooled up the dogs.
dawu,Adverb,"that way, [Ablative].",,,,
liddung,Noun,cave,,,BH song texts Kiva 1-21,
wangga,Noun,a style of song and dance,,wangga.wav,yibiyan yawu-loyin wangga biji,The men only dance wangga.
gunbilin,Noun,"native doctor 'clever'",,gunbilin.wav,"yinyeyn-gunba ngamanda-warda ye-men  yimunburra, wurne bulilin","He takes whatever from the body, stone, bone, blood"
gamanyjin,Noun,bullwaddy,,,,
yi-,PROPRE,"[1st Exclusive Plural/2nd Singular]",,,guda yinyja? ngamanda yi-yana?,What are you going? What are you doing/saying?
ludurrma,Coverb,(with) thunder and lightning,,ludurrma.wav,Yanyangan ludurrma wiyan.,It is thundering.
mangali,Noun,young girl,,mangali.wav,Mangali yigurrul yijad ya-nayin,"A big girl, she's getting big."
wiyl,Coverb,"whistle (at)",,,"yanjaga gunya jun.gurra yondorr-wa wiyl ya-yana gunga, mamaj ye-men, nyanga damirlan mala","He goes nother way from the road, he whistles to him, he beckons him"
Yerrerdbay,Noun,name of rockhole,,,,
mob,Coverb,"break, snap",,mob_sentence_mob-wudba.wav,Mob wudba.,Break that.
bard,Coverb,"chuck down, knock down",,,"layin wudirriya gangman, bard wurr-wudbarri","They brought kangaroo (meat), and threw it down."
jandarrma,Coverb,"to have a big backside",,638494338427199942A LexExampleSentence.wav,"jandarrma yanja, gajigaji yanja darang yijad","when she walks, she goes slow. When she sits her bum is smooth."
dungmala,Coverb,"crack head",dung,,dungmala ya-bun yibam,He cracks him on the head.
dugurlgurl,Noun,wallaby,,,,
buyi-wujban,Noun,pugnacious,,,,
marraj,Postposition,like,,),"Ngayugu marraj, yijadban.","Like me, I'm generous."
yirrb,Coverb,"fall down",yirrba,,yirrb ye-wen wiyan wuduwudu,Slight rain is falling.
garawa,Noun,eagle,,,,
goronggorong,Adverb,really high,,,buck yanayn.ga goronggorong,having bucked really high
lodba,Coverb,"top; head",,638495285689797445A LexExampleSentence.wav,,He hit him on the head.
warlag,Coverb,[Auxiliary] gurrgba-,warlagba; warlarlag,,warlag wurr-gurrgbarriya  yibiyan-mulu,"They place her on my leg. [to promise a girl], this is your promised wife, look at this one, it's your old man husband."
jen,Coverb,"cut off",jenma,638494441694968638A LexExampleSentence.wav,jen ya-lan guwarlambarla-yi yijad-ji,The big turtle snapped the line.
jalngarnan,Adjective,large-sized,,,yijalngarnan naribu,A large mussel.
ngirrmaja,Coverb,"chat",,,ngirrmaja yawudjingin ngorlogba yawudjingin,"They are chatting, they are talking."
mejern,Noun,"stomach, kangaroo pouch",,mejern.wav,Mejern yiwarringun nga-jingindi.,I was sad (had a bad stomach).
gelenggelengma,Coverb,"shine",,gelenggelengma_sentence_yani-wu-darriya-gelenggelengma-jingindiyawu.wav,Yani wu-darriya gelenggelengma jingindiyawu.,They saw it was shining.
dunggulungma,Coverb,"billow up, of smoke;",,,wuja dunggulungma ya-yu; ngala yidewman dunggulungma ya-yu,"The fire is billowing; indeed, it it billowing white."
lan.gaj,Coverb,"pay heed to, listen to",,638495212902451937A LexExampleSentence.wav,lan.gaj jingi yigulan yilamagan ngayijagan,"you listen, maybe we got to go"
birdij,Coverb,"find",birdijba,,"Wurren birdij nganarri, nganinggin wurren.","I found a child, my child."
dologdolog,Coverb,"uproot",,,,
jagalyalyirr,Noun,"hail, rainstones, quartzite crystal, ice",,,"wiyan yanyangan.ga yijad, jagalyalyi-warang, ye-wen jagalyalyirr","When the rain comes big, j. falls."
garnamara,Noun,walking stick,,,,
balabala,Noun,bony bream,,,,
garnbij,Noun,clapstick,,garnbij.wav,Garnbij-gu wurr-mendiya magum.,"For clapsticks, they got ironwood."
garnmarnmalin,Noun,type of cheeky yam,,,wonggo yirr-bujurriya  dan.ganud garnmarnmalin ngawun,"We didn't dig garnmarnmalin, no."
murlugurr,Noun,"kind of devil dog, see jarrinyin, wurrguru, bilybanbilyban",,638546263073679859A LexExampleSentence.wav,Nganinggin-yi yijamun-yi yanarri nganu murlugurr wonggo minini-yunuyn yanja wurrguru murlugurr,"My mother told me, murlugurr is not a real dog, it goes as a spirit of the dead, devil dog."
jaja,Noun,"sister, derderde",,,,
gulbinji,Noun,"paperbark",,,"gulbinji me warljub; gulbinji yawurr-men middle one, ya-nyangan layin yigarlarl gonjo-wagbawun",Get the gulbinji inside; they take the middle pat.
yingginggij,Noun,"like currant",,,,
bubuyma,Coverb,"inform, tell",,,Gurruya-biji bubuyma yin.gunburrwondi madin,They only informed us later.
--ba,Noun,[Ablative],--wa,638472699833636622-ba.wav,Oni dawung-ba minini-mulu  wudjangandi wurrugu meetim,But from there all the dogs came to meet them.
wudba-,Verb,"throw, create cloud",,,Marlnga ya-wudba.,A cloud is forming.
gayawun,Adverb,"little while, wait",,,Wonggo nyangandi gayawun-bi,"He hasn't arrived, wait."
nangari,Noun,"subsection, female",,,,
bilangman,Adjective,sweet,,bilangman_sentence_mabilangman-nganiwon-bulug-nganguwa-mabilangman.wav,"Mabilangman nganiwon, bulug nganguwa mabilangman.","Give me a sweet one, I want to drink a sweet one."
yinyilman,Adjective,"straight, marriageable",,,yingyeng yinyilman gunga.,You are `straight' [right skin] for her.
jalybug,Coverb,"pound, crush up, cut fine, mince",,638464021687463280A LexExampleSentence.wav,jalybug me bega,pound the tobacco
walayn,Coverb,"to recognize, check out",,,"walayn ngan-darri, walayn ngan-darri minini-yi","He checked me out, the dog."
Yiwarngarlangarlay,Noun,name of Paddy Springs,,,,
-werreng / -berreng,Noun,X-avoid,-werreng,,wurr-ginyerriya lurle-werreng warlad-berreng,
mamundadgani,Noun,language of peewee,,,madin wurrugu,their language
gaygba-,Verb,"to call out",gaygba,,,
meleman,Adjective,black,,,minyardin yimeleman,charcoal is black.
Garnawala,Noun,Mountain Hogarth,,,,
Bijbarnang,Noun,"place, not far from Willeroo homestead",,,,
birlwirl,Coverb,"ooze out",,,,
dan-bi-wi,Demonstrative,right here (one),,,,
nilngman,Noun,finch,,,ga-gaygba yirrgulu-ya nilngman,finch sings out at the river
bewe-,Verb,"tread",,,,
Gurriynjinigarri,Noun,name,,,,
